Using ICC.
Will do slow start
Using Compete Mode
Using Automatic Theta Mode
Using Automatic Mode with default lamda = 1
Set Bd= 10ms
Set_Rc= 30mbps
Assigning Source ID: 2126161620
Assuming training link rate of: 2666.67 pkts/sec
Could not establish connection
Could not establish connection
Connection Established.
init: min_rtt= 1.79769e+308
Received incorrect ack for src -1 to 2126161620 for flow -1 to 0
Received incorrect ack for src -1 to 2126161620 for flow -1 to 0
new_RTT_at: 10670.4 cur_dir= -7 prev_v= 1 cur_v= 1 window= 3.50816 target= -83.4578 rtt= 183.048
new_RTT_at: 10758.2 cur_dir= -3 prev_v= 1 cur_v= 1 window= 2 target= -50.049 rtt= 74.5786
new_RTT_at: 10920.4 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2 target= -75.4812 rtt= 145.342
new_RTT_at: 11027.6 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2 target= 79.76 rtt= 22.2475

debug1:sec: 11 throughput: 0.452797 RTT: 77.906
new_RTT_at: 11049.4 cur_dir= 1 prev_v= 1 cur_v= 1 window= 2 target= 115.152 rtt= 21.7624
new_RTT_at: 11075.5 cur_dir= 2 prev_v= 1 cur_v= 2 window= 3.88458 target= 115.152 rtt= 21.7624
new_RTT_at: 11112.5 cur_dir= 4 prev_v= 2 cur_v= 4 window= 11.1971 target= 22.1537 rtt= 26.3256
new_RTT_at: 11208.9 cur_dir= -6 prev_v= 1 cur_v= 1 window= 13.5348 target= -59.8912 rtt= 95.1701
new_RTT_at: 11303.4 cur_dir= -8 prev_v= 1 cur_v= 1 window= 12.0878 target= -56.5952 rtt= 87.5099
new_RTT_at: 11387.4 cur_dir= -6 prev_v= 1 cur_v= 1 window= 10.3749 target= -49.3631 rtt= 73.3799
new_RTT_at: 11469.1 cur_dir= -10 prev_v= 1 cur_v= 1 window= 8.29466 target= -53.112 rtt= 80.2791
new_RTT_at: 11551.6 cur_dir= -9 prev_v= 1 cur_v= 1 window= 6.45331 target= -51.6392 rtt= 77.4654
new_RTT_at: 11607.3 cur_dir= -8 prev_v= 1 cur_v= 1 window= 4.24962 target= -26.0663 rtt= 45.3894
new_RTT_at: 11641.5 cur_dir= -3 prev_v= 1 cur_v= 1 window= 3.77787 target= 69.172 rtt= 22.5439
new_RTT_at: 11683.5 cur_dir= 4 prev_v= 1 cur_v= 1 window= 6.86024 target= 1.92631 rtt= 30.9252
new_RTT_at: 11773.3 cur_dir= -7 prev_v= 1 cur_v= 1 window= 4.31141 target= -56.6692 rtt= 87.6728
Timeout
Finished while in slow-start at window 3.59275
init: min_rtt= 21.5471
new_RTT_at: 13859.2 cur_dir= 0 prev_v= 1 cur_v= 1 window= 2 target= -48.6367 rtt= 72.1399

debug1:sec: 12 throughput: inf RTT: 72.1399
